"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 01:29:10 GMT 2024","Fri Jan 05 01:29:11 GMT 2024","404","tests","test_login","TestLogin","","","test_registration_with_existing_email",""
"passed","Fri Jan 05 01:29:07 GMT 2024","Fri Jan 05 01:29:07 GMT 2024","402","tests","test_login","TestLogin","","","test_login_with_invalid_credentials",""
"passed","Fri Jan 05 01:29:03 GMT 2024","Fri Jan 05 01:29:05 GMT 2024","2240","tests","test_login","TestLogin","","","test_login_with_valid_credentials",""
"passed","Fri Jan 05 01:28:57 GMT 2024","Fri Jan 05 01:28:58 GMT 2024","628","tests","test_contact_us","TestContactUs","","","test_contact_us",""
"passed","Fri Jan 05 01:29:14 GMT 2024","Fri Jan 05 01:29:14 GMT 2024","589","tests","test_products","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 01:28:59 GMT 2024","Fri Jan 05 01:29:02 GMT 2024","3186","tests","test_login","TestLogin","","","test_register",""
"passed","Fri Jan 05 01:29:12 GMT 2024","Fri Jan 05 01:29:13 GMT 2024","647","tests","test_products","TestProducts","","","test_all_products_and_product_details",""
"passed","Fri Jan 05 01:29:15 GMT 2024","Fri Jan 05 01:29:17 GMT 2024","2053","tests","test_subscribe","TestSubscribe","","","test_subscribe",""
"passed","Fri Jan 05 01:29:08 GMT 2024","Fri Jan 05 01:29:09 GMT 2024","826","tests","test_login","TestLogin","","","test_logout",""
"passed","Fri Jan 05 01:29:18 GMT 2024","Fri Jan 05 01:29:19 GMT 2024","532","tests","test_test_cases","TestTestCases","","","test_verify_test_cases_page",""
