"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 00:47:57 GMT 2024","Fri Jan 05 00:47:57 GMT 2024","479","tests","test_login","TestLogin","","","test_login_with_invalid_credentials",""
"passed","Fri Jan 05 00:47:48 GMT 2024","Fri Jan 05 00:47:51 GMT 2024","3367","tests","test_login","TestLogin","","","test_register",""
"passed","Fri Jan 05 00:48:09 GMT 2024","Fri Jan 05 00:48:11 GMT 2024","2350","tests","test_subscribe","TestSubscribe","","","test_subscribe",""
"passed","Fri Jan 05 00:47:53 GMT 2024","Fri Jan 05 00:47:55 GMT 2024","2061","tests","test_login","TestLogin","","","test_login_with_valid_credentials",""
"passed","Fri Jan 05 00:48:02 GMT 2024","Fri Jan 05 00:48:02 GMT 2024","482","tests","test_login","TestLogin","","","test_registration_with_existing_email",""
"passed","Fri Jan 05 00:47:45 GMT 2024","Fri Jan 05 00:47:46 GMT 2024","752","tests","test_contact_us","TestContactUs","","","test_contact_us",""
"passed","Fri Jan 05 00:48:13 GMT 2024","Fri Jan 05 00:48:13 GMT 2024","580","tests","test_test_cases","TestTestCases","","","test_verify_test_cases_page",""
"passed","Fri Jan 05 00:48:06 GMT 2024","Fri Jan 05 00:48:07 GMT 2024","707","tests","test_products","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 00:48:04 GMT 2024","Fri Jan 05 00:48:04 GMT 2024","690","tests","test_products","TestProducts","","","test_all_products_and_product_details",""
"passed","Fri Jan 05 00:47:59 GMT 2024","Fri Jan 05 00:48:00 GMT 2024","1052","tests","test_login","TestLogin","","","test_logout",""
